"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2019","23,496.38","23,234.11","23,536.68","23,231.95","490.28M","0.75%"
"Jul 31, 2019","23,322.57","23,217.38","23,347.73","23,188.58","569.77M","0.56%"
"Jul 30, 2019","23,193.66","23,640.01","23,640.01","23,160.63","632.90M","-1.93%"
"Jul 29, 2019","23,651.11","23,738.33","23,814.31","23,651.11","437.50M","-0.57%"
"Jul 26, 2019","23,786.79","23,848.86","23,848.86","23,708.46","606.50M","-0.23%"
"Jul 25, 2019","23,841.39","24,104.74","24,302.91","23,712.19","775.28M","-0.75%"
"Jul 24, 2019","24,022.53","23,936.37","24,029.24","23,874.13","602.46M","0.55%"
"Jul 23, 2019","23,890.88","23,762.00","23,945.60","23,741.61","500.15M","0.93%"
"Jul 22, 2019","23,671.34","23,541.69","23,681.33","23,522.01","424.24M","0.43%"
"Jul 19, 2019","23,569.98","24,134.47","24,136.26","23,553.78","691.69M","-1.91%"
"Jul 18, 2019","24,028.89","23,907.27","24,132.26","23,886.30","567.32M","-0.03%"
"Jul 17, 2019","24,036.23","24,125.90","24,199.96","23,994.30","863.64M","-0.56%"
"Jul 16, 2019","24,170.90","24,123.41","24,237.40","24,041.31","861.15M","0.13%"
"Jul 15, 2019","24,138.39","24,210.65","24,308.70","24,094.55","518.93M","-0.07%"
"Jul 12, 2019","24,154.16","24,160.32","24,232.77","24,150.70","530.31M","0.04%"
"Jul 11, 2019","24,144.62","24,129.35","24,241.74","24,105.02","519.22M","0.51%"
"Jul 10, 2019","24,021.20","23,864.59","24,160.64","23,853.98","489.36M","0.71%"
"Jul 09, 2019","23,851.11","23,906.77","23,973.13","23,784.49","457.24M","-0.41%"
"Jul 08, 2019","23,949.94","23,925.81","24,039.03","23,884.89","502.40M","-0.07%"
"Jul 05, 2019","23,965.78","24,121.04","24,132.33","23,910.58","640.41M","-0.59%"
"Jul 04, 2019","24,108.53","23,927.05","24,163.08","23,906.29","698.32M","1.01%"
"Jul 03, 2019","23,867.00","23,366.70","23,873.13","23,359.05","752.17M","2.25%"
"Jul 02, 2019","23,341.45","23,260.60","23,380.72","23,185.49","461.16M","0.66%"
"Jul 01, 2019","23,189.55","23,395.54","23,412.92","23,189.55","468.10M","0.13%"
"Jun 28, 2019","23,159.34","23,050.33","23,173.60","23,005.75","488.55M","0.59%"
"Jun 27, 2019","23,022.58","23,051.57","23,111.83","22,906.05","455.72M","0.25%"
"Jun 26, 2019","22,965.49","22,991.77","23,147.51","22,925.63","488.80M","-0.30%"
"Jun 25, 2019","23,033.45","23,142.77","23,202.63","23,019.29","464.46M","-0.73%"
"Jun 24, 2019","23,201.98","23,253.28","23,411.74","23,186.70","481.69M","-0.53%"
"Jun 21, 2019","23,324.65","23,321.99","23,457.35","23,271.59","1.05B","0.10%"
"Jun 20, 2019","23,302.15","23,291.17","23,444.38","23,291.17","728.55M","0.64%"
"Jun 19, 2019","23,153.39","23,069.59","23,177.99","22,998.16","652.13M","0.40%"
"Jun 18, 2019","23,060.68","22,556.81","23,083.12","22,430.12","706.87M","2.28%"
"Jun 17, 2019","22,547.55","22,596.40","22,658.44","22,530.94","441.67M","0.01%"
"Jun 14, 2019","22,545.75","22,532.35","22,578.92","22,468.62","384.79M","-0.15%"
"Jun 13, 2019","22,580.13","22,391.16","22,609.56","22,337.77","445.02M","0.78%"
"Jun 12, 2019","22,405.92","22,448.18","22,497.05","22,377.11","422.92M","-0.71%"
"Jun 11, 2019","22,566.44","22,445.47","22,665.46","22,437.87","546.50M","0.59%"
"Jun 10, 2019","22,433.09","22,406.55","22,440.79","22,291.22","416.79M","0.61%"
"Jun 07, 2019","22,297.16","22,177.22","22,392.39","22,169.68","484.69M","0.89%"
"Jun 06, 2019","22,100.07","22,068.43","22,326.93","22,001.28","538.29M","0.11%"
"Jun 05, 2019","22,076.43","22,129.86","22,191.47","21,960.98","555.01M","-0.24%"
"Jun 04, 2019","22,129.86","21,678.97","22,144.95","21,649.54","581.38M","1.65%"
"Jun 03, 2019","21,770.39","21,580.61","21,773.08","21,486.99","454.18M","0.30%"
"May 31, 2019","21,704.33","21,634.60","21,734.59","21,439.15","561.75M","-0.69%"
"May 30, 2019","21,855.69","21,973.94","22,071.35","21,788.23","396.50M","-0.18%"
"May 29, 2019","21,895.78","21,998.75","22,010.40","21,822.21","503.90M","-1.25%"
"May 28, 2019","22,172.23","22,265.43","22,272.45","21,999.63","826.93M","-0.45%"
"May 27, 2019","22,273.51","22,344.69","22,595.62","22,209.31","395.33M","-0.10%"
"May 24, 2019","22,296.32","22,171.47","22,387.29","22,159.02","543.70M","1.16%"
"May 23, 2019","22,040.94","22,350.57","22,391.04","22,028.04","645.33M","-2.01%"
"May 22, 2019","22,494.12","22,571.99","22,659.05","22,415.03","517.69M","-0.53%"
"May 21, 2019","22,614.26","22,544.03","22,625.24","22,493.72","581.73M","0.79%"
"May 20, 2019","22,436.60","22,658.06","22,822.83","22,389.93","698.42M","-2.58%"
"May 17, 2019","23,030.25","23,080.36","23,089.76","22,905.56","641.65M","-0.20%"
"May 16, 2019","23,076.12","22,761.09","23,076.12","22,688.65","637.30M","1.30%"
"May 15, 2019","22,780.63","22,838.85","22,838.85","22,468.08","740.69M","-0.18%"
"May 14, 2019","22,822.15","22,622.98","22,822.15","22,578.10","629.34M","1.38%"
"May 13, 2019","22,511.79","22,869.58","22,869.58","22,503.93","856.24M","-1.45%"
"May 10, 2019","22,841.96","22,986.01","23,037.10","22,807.05","494.55M","0.23%"
"May 09, 2019","22,789.76","23,114.33","23,114.33","22,767.19","676.91M","-1.82%"
"May 08, 2019","23,211.07","23,217.03","23,270.64","23,040.43","590.30M","-0.08%"
"May 07, 2019","23,230.23","23,465.43","23,588.19","23,182.51","646.62M","-0.83%"
"May 06, 2019","23,425.42","23,358.19","23,496.71","23,262.53","505.99M","-1.64%"
"May 03, 2019","23,815.63","23,776.64","23,864.77","23,721.47","442.94M","0.19%"
"May 02, 2019","23,771.30","23,902.59","23,959.61","23,739.02","546.16M","-0.69%"
"Apr 30, 2019","23,936.68","23,824.40","23,948.04","23,809.06","501.24M","0.39%"
"Apr 29, 2019","23,843.26","23,816.72","23,891.92","23,704.92","447.35M","0.25%"
"Apr 26, 2019","23,783.02","23,784.56","23,813.91","23,637.44","434.20M","0.06%"
"Apr 25, 2019","23,767.76","23,746.37","23,830.63","23,704.42","366.29M","-0.01%"
"Apr 24, 2019","23,769.78","23,891.54","23,938.62","23,709.81","616.72M","-0.74%"
"Apr 23, 2019","23,946.00","23,989.54","24,002.84","23,859.30","549.90M","-0.24%"
"Apr 18, 2019","24,003.80","24,039.24","24,067.96","23,827.69","646.07M","-0.19%"
"Apr 17, 2019","24,048.83","23,998.23","24,103.49","23,955.57","712.22M","0.28%"
"Apr 16, 2019","23,981.27","23,982.04","24,050.56","23,868.51","622.51M","0.11%"
"Apr 15, 2019","23,954.02","23,963.86","24,055.43","23,898.52","719.95M","0.18%"
"Apr 12, 2019","23,910.69","23,728.92","23,965.70","23,685.70","868.24M","0.75%"
"Apr 11, 2019","23,733.35","23,744.19","23,814.33","23,519.06","954.94M","0.08%"
"Apr 10, 2019","23,713.62","23,738.95","23,805.53","23,663.82","811.80M","-0.04%"
"Apr 09, 2019","23,723.36","23,830.61","23,968.25","23,670.62","685.65M","-0.52%"
"Apr 08, 2019","23,846.21","23,844.18","23,877.07","23,770.64","676.03M","0.07%"
"Apr 05, 2019","23,828.75","23,818.76","23,899.66","23,751.37","600.27M","0.25%"
"Apr 04, 2019","23,769.07","23,762.89","23,806.54","23,702.44","772.03M","-0.22%"
"Apr 03, 2019","23,821.25","23,698.39","23,832.29","23,670.18","730.62M","1.10%"
"Apr 02, 2019","23,562.05","23,569.93","23,610.38","23,483.24","584.13M","0.03%"
"Apr 01, 2019","23,555.49","23,436.44","23,583.74","23,380.37","661.12M","1.04%"
"Mar 29, 2019","23,313.77","23,226.13","23,322.64","23,104.74","877.26M","0.95%"
"Mar 28, 2019","23,095.19","23,181.27","23,232.62","23,051.61","511.10M","-0.49%"
"Mar 27, 2019","23,208.44","23,209.22","23,449.79","23,038.99","662.53M","0.22%"
"Mar 26, 2019","23,157.37","23,121.40","23,199.31","22,995.87","447.61M","0.40%"
"Mar 25, 2019","23,064.82","23,028.90","23,232.23","22,933.63","483.36M","-0.15%"
"Mar 22, 2019","23,098.34","23,503.72","23,503.72","23,069.31","688.39M","-1.34%"
"Mar 21, 2019","23,412.32","23,380.76","23,476.30","23,295.10","453.37M","0.23%"
"Mar 20, 2019","23,358.43","23,405.70","23,517.64","23,358.43","505.21M","-0.51%"
"Mar 19, 2019","23,477.23","23,315.50","23,519.98","23,272.75","656.37M","0.88%"
"Mar 18, 2019","23,271.40","23,131.46","23,289.12","23,129.85","607.63M","0.81%"
"Mar 15, 2019","23,085.02","23,000.12","23,158.57","22,922.15","916.96M","0.70%"
"Mar 14, 2019","22,924.91","22,806.97","23,012.36","22,805.31","634.02M","0.61%"
"Mar 13, 2019","22,785.80","22,642.89","22,794.98","22,640.64","563.03M","0.49%"
"Mar 12, 2019","22,675.74","22,787.67","22,787.67","22,575.48","620.30M","0.01%"
"Mar 11, 2019","22,674.47","22,647.40","22,686.67","22,515.26","487.06M","0.60%"
"Mar 08, 2019","22,539.25","22,623.10","22,730.28","22,437.45","615.63M","-0.97%"
"Mar 07, 2019","22,760.86","22,913.07","23,085.09","22,661.87","846.10M","-0.78%"
"Mar 06, 2019","22,938.83","22,801.51","22,992.52","22,749.60","660.06M","0.68%"
"Mar 05, 2019","22,783.12","22,777.44","22,886.39","22,726.52","595.49M","0.03%"
"Mar 04, 2019","22,776.62","22,870.89","22,906.60","22,687.76","497.45M","0.19%"
"Mar 01, 2019","22,734.08","22,837.08","22,874.97","22,734.08","566.83M","0.21%"
"Feb 28, 2019","22,686.91","22,431.04","22,705.52","22,431.04","749.22M","0.79%"
"Feb 27, 2019","22,509.70","22,426.78","22,578.21","22,418.25","683.91M","0.15%"
"Feb 26, 2019","22,475.53","22,391.36","22,520.28","22,351.05","637.08M","0.10%"
"Feb 25, 2019","22,453.66","22,442.76","22,505.10","22,419.43","794.68M","0.79%"
"Feb 22, 2019","22,277.00","22,185.00","22,303.71","22,185.00","545.36M","0.37%"
"Feb 21, 2019","22,195.52","22,303.12","22,336.77","22,139.45","592.01M","-0.42%"
"Feb 20, 2019","22,290.00","22,255.29","22,300.29","22,144.20","556.41M","0.36%"
"Feb 19, 2019","22,209.88","22,307.77","22,365.55","22,115.41","531.02M","-0.56%"
"Feb 18, 2019","22,334.18","22,228.15","22,348.31","22,227.07","609.07M","0.59%"
"Feb 15, 2019","22,204.24","21,786.21","22,262.66","21,776.93","885.30M","1.76%"
"Feb 14, 2019","21,821.27","22,056.76","22,066.44","21,800.19","614.32M","-0.64%"
"Feb 13, 2019","21,961.32","21,847.49","22,028.80","21,817.90","544.19M","0.87%"
"Feb 12, 2019","21,772.14","21,683.00","21,826.68","21,629.21","526.88M","1.16%"
"Feb 11, 2019","21,522.16","21,364.79","21,628.82","21,359.41","550.71M","1.15%"
"Feb 08, 2019","21,276.80","21,402.33","21,535.01","21,191.97","591.81M","-0.68%"
"Feb 07, 2019","21,423.12","21,907.54","21,971.57","21,423.12","801.98M","-2.46%"
"Feb 06, 2019","21,963.29","21,727.85","21,981.64","21,721.96","584.21M","0.78%"
"Feb 05, 2019","21,793.13","21,604.57","21,804.92","21,531.39","699.78M","1.09%"
"Feb 04, 2019","21,557.52","21,513.75","21,609.96","21,441.96","616.51M","0.17%"
"Feb 01, 2019","21,520.27","21,712.95","21,808.97","21,305.63","726.22M","-0.77%"
"Jan 31, 2019","21,686.66","21,823.57","21,871.79","21,491.27","1.31B","-0.19%"
"Jan 30, 2019","21,728.83","21,690.63","21,728.83","21,633.97","523.82M","0.32%"
"Jan 29, 2019","21,660.12","21,547.27","21,727.26","21,513.81","506.94M","0.47%"
"Jan 28, 2019","21,558.16","21,697.30","21,739.95","21,514.87","466.14M","-0.98%"
"Jan 25, 2019","21,770.74","21,630.86","21,786.90","21,619.63","539.26M","1.18%"
"Jan 24, 2019","21,516.15","21,357.90","21,621.38","21,326.39","646.28M","0.81%"
"Jan 23, 2019","21,343.47","21,282.88","21,494.57","21,201.87","641.02M","-0.11%"
"Jan 22, 2019","21,367.26","21,459.54","21,524.94","21,347.58","782.29M","-0.95%"
"Jan 21, 2019","21,572.79","21,551.68","21,574.58","21,480.61","503.16M","-0.35%"
"Jan 18, 2019","21,647.72","21,568.47","21,669.28","21,488.47","917.23M","1.17%"
"Jan 17, 2019","21,396.57","21,283.66","21,442.23","21,242.36","478.83M","-0.04%"
"Jan 16, 2019","21,405.03","21,174.87","21,405.03","21,165.34","609.73M","1.52%"
"Jan 15, 2019","21,083.89","21,225.08","21,295.90","20,930.79","662.21M","0.03%"
"Jan 14, 2019","21,076.83","21,094.07","21,154.96","20,928.62","563.00M","-0.65%"
"Jan 11, 2019","21,215.17","21,296.47","21,310.10","21,114.94","636.79M","-0.03%"
"Jan 10, 2019","21,221.49","21,021.51","21,221.49","20,959.34","586.59M","0.56%"
"Jan 09, 2019","21,103.34","21,067.11","21,229.14","21,049.54","596.10M","0.95%"
"Jan 08, 2019","20,905.01","20,882.67","21,104.08","20,824.19","604.10M","0.22%"
"Jan 07, 2019","20,858.51","20,811.07","20,872.62","20,692.38","500.78M","0.67%"
"Jan 04, 2019","20,718.93","20,250.29","20,718.93","20,250.29","744.60M","3.13%"
"Jan 03, 2019","20,089.99","20,052.72","20,290.01","20,003.76","681.20M","-0.43%"
"Jan 02, 2019","20,176.62","20,013.30","20,251.67","19,770.38","441.09M","0.14%"
"Dec 28, 2018","20,148.24","20,012.28","20,200.77","19,966.89","1.07B","1.51%"
"Dec 27, 2018","19,848.73","20,147.23","20,160.34","19,699.54","1.08B","-1.71%"
"Dec 21, 2018","20,194.89","20,227.11","20,273.64","20,070.02","1.88B","-0.84%"
"Dec 20, 2018","20,366.21","20,474.09","20,555.86","20,366.21","1.09B","-1.84%"
"Dec 19, 2018","20,747.78","20,602.08","20,828.59","20,602.08","1.38B","1.56%"
"Dec 18, 2018","20,428.93","20,373.50","20,582.08","20,347.74","1.32B","-0.25%"
"Dec 17, 2018","20,479.86","20,732.99","20,732.99","20,442.90","663.20M","-1.26%"
"Dec 14, 2018","20,740.61","20,714.80","20,798.76","20,562.96","1.03B","-0.72%"
"Dec 13, 2018","20,891.83","20,940.67","21,061.20","20,803.30","762.77M","0.50%"
"Dec 12, 2018","20,787.82","20,490.93","20,866.48","20,451.63","1.16B","1.87%"
"Dec 11, 2018","20,406.46","20,378.93","20,595.29","20,241.96","776.32M","0.83%"
"Dec 10, 2018","20,238.12","20,440.22","20,545.64","20,220.96","669.81M","-1.75%"
"Dec 07, 2018","20,597.68","20,650.69","20,818.51","20,597.68","616.63M","0.49%"
"Dec 06, 2018","20,496.44","21,014.83","21,014.83","20,433.79","1.09B","-3.38%"
"Dec 05, 2018","21,213.03","21,041.15","21,287.70","20,990.68","691.12M","-0.19%"
"Dec 04, 2018","21,254.03","21,494.44","21,517.80","21,254.03","961.02M","-1.26%"
"Dec 03, 2018","21,525.70","21,476.90","21,567.83","21,421.42","1.52B","2.22%"